period,C,J,N,S
5/28/2021 7:30,,0.01,,
5/28/2021 7:45,,0.01,,
5/28/2021 8:00,0.05,0.03,0.05,0.03
5/28/2021 8:15,0.06,0.04,0.06,0.14
5/28/2021 8:30,0.05,0.05,0.05,0.05
5/28/2021 8:45,0.03,0.03,0.03,0.02
5/28/2021 9:00,0.03,0.03,0.02,0.01
5/28/2021 9:15,0.01,0.02,0.02,0.02
5/28/2021 9:30,0.02,0.03,0.02,0.01
5/28/2021 9:45,0.01,0.02,0.02,0.02
5/28/2021 10:00,0.03,0.02,0.02,0.02
5/28/2021 10:15,0.02,0.02,0.02,0.02
5/28/2021 10:30,0.02,0.03,0.03,0.02
5/28/2021 10:45,0.03,0.02,0.03,0.02
5/28/2021 11:00,0.03,0.03,0.02,0.03
5/28/2021 11:15,0.04,0.03,0.03,0.04
5/28/2021 11:30,0.03,0.02,0.04,0.04
5/28/2021 11:45,0.02,0.03,0.02,
5/28/2021 12:00,0.01,0.02,0.01,0.01
5/28/2021 12:15,,0.01,,
5/28/2021 23:45,0,0,0,0
5/29/2021 23:45,0,0,0,0
5/30/2021 23:45,0,0,0,0
5/31/2021 23:45,0,0,0,0
6/1/2021 23:45,0,0,0,0
6/2/2021 13:15,,,,0.01
6/2/2021 13:45,,,0.01,
6/2/2021 14:15,,0.01,,0.01
6/2/2021 14:45,,,,0.01
6/2/2021 15:00,,,0.01,0.01
6/2/2021 15:15,0.01,,0.01,0.01
6/2/2021 15:30,,,0.01,0.01
6/2/2021 15:45,0.02,0.01,0.02,0.02
6/2/2021 16:00,0.01,0.01,0.01,0.02
6/2/2021 16:15,0.02,0.03,0.02,0.05
6/2/2021 16:30,0.04,0.02,0.03,0.03
6/2/2021 16:45,0.04,0.03,0.06,0.04
6/2/2021 17:00,0.01,0.02,0.04,0.03
6/2/2021 17:15,0.04,0.03,0.04,0.06
6/2/2021 17:30,0.03,0.02,0.03,0.05
6/2/2021 17:45,0.1,0.03,0.08,0.05
6/2/2021 18:00,0.07,0.02,0.04,0.03
6/2/2021 18:15,0.02,0.03,0.05,0.02
6/2/2021 18:30,0.02,0.02,0.02,0.05
